,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ALMENDRAS (IMPORTADAS) *,,,,,,2026-03-31,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
NUEZ MARIPOSA EXTRA LIGHT,CAJA X 10 KG,,"$ 16.720,00","$ 167.200,00",,"$ 18.977,20","$ 189.772,00"
NUEZ CUARTOS LIGHT,CAJA X 10 KG,,"$ 13.376,00","$ 133.760,00",,"$ 14.422,67","$ 144.226,72"
NUEZ CUARTILLO BLANCO,CAJA X 10 KG,,"$ 13.376,00","$ 133.760,00",,"$ 14.422,67","$ 144.226,72"
NUEZ CON C├üSCARA 36+ GRANDE X 10KG,BOLSA X 10 KG,,"$ 6.964,65","$ 69.646,50",,"$ 7.528,46","$ 75.284,55"
ALMENDRAS (NACIONAL),,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
ALMENDRA GUARA N┬░2 (CHICA),CAJA X 10 KG,,"$ 15.556,31","$ 155.563,06",,"$ 17.656,41","$ 176.564,07"
ALMENDRA GUARA N┬░4 (MEDIANA),CAJA X 10 KG,,"$ 15.889,40","$ 158.894,05",,"$ 17.680,86","$ 176.808,57"
PISTACHOS (NACIONAL) *,,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
PISTACHO PELADO NATURAL ENTERO Y MITADES X 10 KG,CAJA X 10 KG,,"$ 60.655,34","$ 606.553,38",,"$ 64.586,70","$ 645.867,02"
PISTACHO TOSTADO Y SALADO C/CASCARA X10 KG,CAJA X 10 KG,,"$ 35.660,73","$ 356.607,34",,"$ 39.056,99","$ 390.569,94"
DESHIDRATADOS (NACIONAL) *,,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
PASAS DE UVA MORENA,CAJA X 10 KG,,"$ 3.770,14","$ 37.701,44",,"$ 4.279,11","$ 42.791,14"
PASAS DE UVA RUBIA X 10 KG,CAJA X 10 KG,,"$ 7.873,30","$ 78.732,98",,"$ 8.936,19","$ 89.361,94"
PASAS DE UVA RUBIA ECO X 10 KG,CAJA X 10 KG,,"$ 4.662,13","$ 46.621,34",,"$ 5.291,52","$ 52.915,23"
TOMATE DESHIDRATADO PREMIUM,CAJA X 5 KG,,"$ 8.420,39","$ 42.101,93",,"$ 9.557,14","$ 47.785,69"
CIRUELA DAGEN SIN CAROZO CAL. 88/110 X 5 KG,CAJA X 5 KG,,"$ 8.420,39","$ 42.101,93",,"$ 9.557,14","$ 47.785,69"
CIRUELA DAGEN SIN CAROZO CAL. 110/132 X 5 KG,CAJA X 5 KG,,"$ 9.133,98","$ 45.669,89",,"$ 10.367,06","$ 51.835,32"
CIRUELA PTE SIN CAROZO MEDIANA X 5 KG,CAJA X 5 KG,,"$ 10.561,16","$ 52.805,81",,"$ 11.986,92","$ 59.934,59"
HIGO DESHIDRATADO X 5 KG,CAJA X 5 KG,,"$ 6.960,00","$ 34.800,00",,"$ 8.004,00","$ 40.020,00"
PERA DESHIDRATADA X 5 KG,CAJA X 5 KG,,"$ 7.440,00","$ 37.200,00",,"$ 8.556,00","$ 42.780,00"
HIGOS NEGROS X 5KG,CAJA X 5 KG,,"$ 9.288,05","$ 46.440,24",,"$ 10.541,94","$ 52.709,68"
PERA DESHIDRATADA MEDIANA X 5KG,CAJA X 5 KG,,"$ 7.920,33","$ 39.601,65",,"$ 8.989,58","$ 44.947,88"
FRUTAS EN CUBO (IMPORTADOS),,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
PAPAYA MULTICOLOR EN CUBOS,CAJA X 5 KG,,"$ 6.428,27","$ 32.141,37",,"$ 7.296,09","$ 36.480,46"
MANI (NACIONAL) *,,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
MANI TOSTADO SIN SAL PREMIUM,BOLSA X 25 KG,,"$ 2.006,98","$ 50.174,44",,"$ 2.277,92","$ 56.947,99"
MANI TOSTADO CON SAL PREMIUM,BOLSA X 25 KG,,"$ 2.012,58","$ 50.314,43",,"$ 2.284,28","$ 57.106,88"
MIX DE FRUTOS SECOS (SIN T.A.C.C.) - CAJA 10 KG,,,,,,,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
MIX PREMIUM X 10 KG,CAJA X 10 KG,,"$ 21.938,34","$ 219.383,39",,"$ 26.455,06","$ 264.550,55"
