TOMATE DESHIDRATADO,CAJA X 5 KG,,$13.480,-,-
SEMILLAS,,,,,
PRODUCTO,PESO BULTO,,PRECIO KG X BULTO CERRADO,PRECIO KG X 5KG,PRECIO 1KG
,,,,,
SEMILLA DE GIRASOL,BOLSA X 25 KG,,$3.610,$4.152,$4.476
SEMILLA DE CHIA,BOLSA X 25 KG,,$6.730,$7.740,$8.345
SEMILLA DE LINO,BOLSA X 25 KG,,$2.220,$2.553,$2.753
SEMILLA DE SESAMO INTEGRAL,BOLSA X 25 KG,,$2.680,$3.082,$3.323
SEMILLA DE SESAMO BLANCO,BOLSA X 25 KG,,$5.830,$6.705,$7.229
SEMILLA DE SESAMO NEGRO,BOLSA X 25 KG,,$6.500,$7.475,$8.060
CIRUELA,,,,,
PRODUCTO,PESO BULTO,,PRECIO KG X BULTO CERRADO,PRECIO KG X 5KG,PRECIO 1KG
,,,,,
CIRUELA PTE SIN CAROZO MEDIANA,CAJA X 5 KG,,$13.630,-,-
CIRUELA DAGEN SIN CAROZO CAL. 110/132,CAJA X 5 KG,,$8.210,-,-
PISTACHO,,,,,
PRODUCTO,PESO BULTO,,PRECIO KG X BULTO CERRADO,PRECIO KG X 5KG,PRECIO 1KG
,,,,,
PISTACHO PELADO NATURAL ENTERO,CAJA X 10 KG,,$61.320,$70.518,$76.037
PISTACHO TOSTADO Y SALADO C/CÁSCARA,CAJA X 10 KG,,$37.120,$42.688,$46.029
FRUTAS DESHIDRATADAS,,,,,
PRODUCTO,PESO BULTO,,PRECIO KG X BULTO CERRADO,PRECIO KG X 5KG,PRECIO 1KG
,,,,,
HIGOS NEGROS,CAJA X 5 KG,,$11.720,-,-
PERA DESHIDRATADA MEDIANA,CAJA X 5 KG,,$10.400,-,-
PAPAYA MULTICOLOR EN CUBOS,CAJA X 5 KG,,$7.520,-,-
MIXS DE FRUTOS SECOS,,,,,
PRODUCTO,PESO BULTO,,PRECIO KG X BULTO CERRADO,PRECIO KG X 5KG,PRECIO 1KG
,,,,,
MIX PREMIUM,CAJA X 10 KG,,$21.150,$24.323,$26.226
MIX FRUTOS SECOS SIN MANI,CAJA X 10 KG,,$13.270,$15.261,$16.455
MIX CARIBE SIN MANI,CAJA X 10 KG,,$12.020,$13.823,$14.905
HAPPY MIX,CAJA X 10 KG,,$9.430,$10.845,$11.693
MIX SALADO,CAJA X 10 KG,,$8.850,$10.178,$10.974
MIX ENERGÉTICO,CAJA X 10 KG,,$8.370,$9.626,$10.379
